"﻿""file""",scope,key,value_zh
vscode.css-language-features.i18n.json,bundle,'{0}','{0}'
vscode.css-language-features.i18n.json,bundle,'from' expected,'từ' mong đợi
vscode.css-language-features.i18n.json,bundle,'in' expected,'trong' mong đợi
vscode.css-language-features.i18n.json,bundle,'through' or 'to' expected,'thông qua' hoặc 'đến' được mong đợi
vscode.css-language-features.i18n.json,bundle,"""store"" a boolean test for later evaluation in a guard or if().","""Lưu trữ"" một bài kiểm tra Boolean để đánh giá sau trong một người bảo vệ hoặc nếu ()."
vscode.css-language-features.i18n.json,bundle,( expected,( hy vọng
vscode.css-language-features.i18n.json,bundle,) expected,) hy vọng
vscode.css-language-features.i18n.json,bundle,[ expected,[ hy vọng
vscode.css-language-features.i18n.json,bundle,] expected,] hy vọng
vscode.css-language-features.i18n.json,bundle,{ expected,{ hy vọng
vscode.css-language-features.i18n.json,bundle,"{0}, '{1}'","{0}, '{1}'"
vscode.css-language-features.i18n.json,bundle,} expected,} hy vọng
vscode.css-language-features.i18n.json,bundle,@font-face,@Font-mặt
vscode.css-language-features.i18n.json,bundle,@font-face rule must define 'src' and 'font-family' properties,@Quy tắc Font-Face phải xác định các thuộc tính 'src' và 'font-family'
vscode.css-language-features.i18n.json,bundle,@keyframes {0},@keyframes {0}
vscode.css-language-features.i18n.json,bundle,<undefined>,<undefined>
vscode.css-language-features.i18n.json,bundle,A list of properties that are not validated against the `unknownProperties` rule.,Một danh sách các thuộc tính không được xác nhận theo quy tắc 'không biết `.
vscode.css-language-features.i18n.json,bundle,absolute value of a number,Giá trị tuyệt đối của một số
vscode.css-language-features.i18n.json,bundle,Adds quotes to a string.,Thêm dấu ngoặc kép vào một chuỗi.
vscode.css-language-features.i18n.json,bundle,Also define the standard property '{0}' for compatibility,Also define the standard property '{0}' for compatibility
vscode.css-language-features.i18n.json,bundle,Always define standard rule '@keyframes' when defining keyframes.,Luôn xác định quy tắc tiêu chuẩn '@KeyFrames' khi xác định các khung chính.
vscode.css-language-features.i18n.json,bundle,Always include all vendor specific properties: Missing: {0},Always include all vendor specific properties: Missing: {0}
vscode.css-language-features.i18n.json,bundle,Always include all vendor specific rules: Missing: {0},Always include all vendor specific rules: Missing: {0}
vscode.css-language-features.i18n.json,bundle,Appends a single value onto the end of a list.,Lối nối một giá trị duy nhất vào cuối danh sách.
vscode.css-language-features.i18n.json,bundle,Appends selectors to one another without spaces in between.,Đưa bộ chọn cho nhau mà không có khoảng trống ở giữa.
vscode.css-language-features.i18n.json,bundle,arccosine - inverse of cosine function,arccosine - nghịch đảo của chức năng cosin
vscode.css-language-features.i18n.json,bundle,arcsine - inverse of sine function,arcsine - nghịch đảo của chức năng sin
vscode.css-language-features.i18n.json,bundle,arctangent - inverse of tangent function,arctangent - nghịch đảo của chức năng tiếp tuyến
vscode.css-language-features.i18n.json,bundle,argument from '{0}',argument from '{0}'
vscode.css-language-features.i18n.json,bundle,at-rule or selector expected,Quy tắc hoặc bộ chọn dự kiến
vscode.css-language-features.i18n.json,bundle,at-rule unknown,không rõ quy tắc
vscode.css-language-features.i18n.json,bundle,Avoid using !important. It is an indication that the specificity of the entire CSS has gotten out of control and needs to be refactored.,Tránh sử dụng! Quan trọng. Đó là một dấu hiệu cho thấy tính đặc hiệu của toàn bộ CSS đã vượt khỏi tầm kiểm soát và cần phải được tái cấu trúc.
vscode.css-language-features.i18n.json,bundle,Avoid using 'float'. Floats lead to fragile CSS that is easy to break if one aspect of the layout changes.,Tránh sử dụng 'float'. Phao dẫn đến CSS dễ vỡ dễ bị phá vỡ nếu một khía cạnh của bố cục thay đổi.
vscode.css-language-features.i18n.json,bundle,bind the evaluation of a ruleset to each member of a list.,Liên kết việc đánh giá một quy tắc với mỗi thành viên của một danh sách.
vscode.css-language-features.i18n.json,bundle,calculates square root of a number,Tính toán căn bậc hai của một số
vscode.css-language-features.i18n.json,bundle,Causes one or more rules to be emitted at the root of the document.,Gây ra một hoặc nhiều quy tắc được phát ra từ gốc của tài liệu.
vscode.css-language-features.i18n.json,bundle,Changes one or more properties of a color.,Thay đổi một hoặc nhiều thuộc tính của một màu.
vscode.css-language-features.i18n.json,bundle,Changes the alpha component for a color.,Thay đổi thành phần alpha cho một màu.
vscode.css-language-features.i18n.json,bundle,Changes the hue of a color.,Thay đổi màu sắc của một màu.
vscode.css-language-features.i18n.json,bundle,colon expected,Đại tá mong đợi
vscode.css-language-features.i18n.json,bundle,Combines several lists into a single multidimensional list.,Kết hợp một số danh sách vào một danh sách đa chiều duy nhất.
vscode.css-language-features.i18n.json,bundle,comma expected,dấu phẩy dự kiến
vscode.css-language-features.i18n.json,bundle,condition expected,điều kiện dự kiến
vscode.css-language-features.i18n.json,bundle,Converts a color into the format understood by IE filters.,Chuyển đổi một màu thành định dạng được hiểu bởi các bộ lọc IE.
vscode.css-language-features.i18n.json,bundle,Converts a color to grayscale.,Chuyển đổi một màu thành thang độ xám.
vscode.css-language-features.i18n.json,bundle,Converts a string to lower case.,Chuyển đổi một chuỗi thành chữ thường.
vscode.css-language-features.i18n.json,bundle,Converts a string to upper case.,Chuyển đổi một chuỗi thành trường hợp trên.
vscode.css-language-features.i18n.json,bundle,Converts a unitless number to a percentage.,Chuyển đổi một số đơn vị thành một tỷ lệ phần trăm.
vscode.css-language-features.i18n.json,bundle,converts numbers from one type into another,Chuyển đổi số từ loại này sang loại khác
vscode.css-language-features.i18n.json,bundle,"converts to a %, e.g. 0.5 > 50%","converts to a %, e.g. 0.5 > 50%"
vscode.css-language-features.i18n.json,bundle,cosine function,Hàm cosin
vscode.css-language-features.i18n.json,bundle,creates a #AARRGGBB,Tạo một #aarrggbb
vscode.css-language-features.i18n.json,bundle,creates a color,tạo ra một màu
vscode.css-language-features.i18n.json,bundle,"Creates a Color from hue, saturation, and lightness values.","Tạo một màu từ Huế, bão hòa và giá trị độ sáng."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from hue, saturation, lightness, and alpha values.","Tạo ra một màu từ màu sắc, độ bão hòa, nhẹ và các giá trị alpha."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from hue, white, and black values.","Tạo một màu từ các giá trị Huế, Trắng và Đen."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from lightness, a, and b values.","Tạo một màu từ các giá trị nhẹ, A và B."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from lightness, chroma, and hue values.","Tạo ra một màu từ độ sáng, màu sắc và các giá trị màu sắc."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from red, green, and blue values.","Tạo một màu từ các giá trị màu đỏ, xanh lá cây và xanh dương."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from red, green, blue, and alpha values.","Tạo một màu từ các giá trị màu đỏ, xanh lá cây, xanh dương và alpha."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from the hue, saturation, and lightness values of another Color.","Tạo một màu từ màu sắc, độ bão hòa và giá trị độ sáng của màu khác."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from the hue, white, and black values of another Color.","Tạo một màu từ các giá trị màu sắc, trắng và đen của một màu khác."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from the lightness, a, and b values of another Color.","Tạo một màu từ các giá trị nhẹ, A và B của một màu khác."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from the lightness, chroma, and hue values of another Color.","Tạo một màu từ độ sáng, sắc độ và các giá trị màu sắc của một màu khác."
vscode.css-language-features.i18n.json,bundle,"Creates a Color from the red, green, and blue values of another Color.","Tạo một màu từ các giá trị màu đỏ, xanh lá cây và xanh dương của một màu khác."
vscode.css-language-features.i18n.json,bundle,"Creates a Color in a specific color space from red, green, and blue values.","Tạo một màu trong một không gian màu cụ thể từ các giá trị đỏ, xanh lá cây và xanh dương."
vscode.css-language-features.i18n.json,bundle,"Creates a Color in a specific color space from the red, green, and blue values of another Color.","Tạo một màu trong một không gian màu cụ thể từ các giá trị màu đỏ, xanh lá cây và xanh dương của một màu khác."
vscode.css-language-features.i18n.json,bundle,CSS fix is outdated and can't be applied to the document.,CSS Fix đã lỗi thời và không thể áp dụng cho tài liệu.
vscode.css-language-features.i18n.json,bundle,CSS Language Server,Máy chủ ngôn ngữ CSS
vscode.css-language-features.i18n.json,bundle,css.builtin.lab,css.builtin.lab
vscode.css-language-features.i18n.json,package,css.colorDecorators.enable.deprecationMessage,css.colorDecorators.enable.deprecationMessage
vscode.css-language-features.i18n.json,package,css.completion.completePropertyWithSemicolon.desc,css.completion.completePropertyWithSemicolon.desc
vscode.css-language-features.i18n.json,package,css.completion.triggerPropertyValueCompletion.desc,css.completion.triggerPropertyValueCompletion.desc
vscode.css-language-features.i18n.json,package,css.customData.desc,css.customData.desc
vscode.css-language-features.i18n.json,package,css.format.braceStyle.desc,css.format.braceStyle.desc
vscode.css-language-features.i18n.json,package,css.format.enable.desc,css.format.enable.desc
vscode.css-language-features.i18n.json,package,css.format.maxPreserveNewLines.desc,css.format.maxPreserveNewLines.desc
vscode.css-language-features.i18n.json,package,css.format.newlineBetweenRules.desc,css.format.newlineBetweenRules.desc
vscode.css-language-features.i18n.json,package,css.format.newlineBetweenSelectors.desc,css.format.newlineBetweenSelectors.desc
vscode.css-language-features.i18n.json,package,css.format.preserveNewLines.desc,css.format.preserveNewLines.desc
vscode.css-language-features.i18n.json,package,css.format.spaceAroundSelectorSeparator.desc,css.format.spaceAroundSelectorSeparator.desc
vscode.css-language-features.i18n.json,package,css.hover.documentation,css.hover.documentation
vscode.css-language-features.i18n.json,package,css.hover.references,css.hover.references
vscode.css-language-features.i18n.json,package,css.lint.argumentsInColorFunction.desc,css.lint.argumentsInColorFunction.desc
vscode.css-language-features.i18n.json,package,css.lint.boxModel.desc,css.lint.boxModel.desc
vscode.css-language-features.i18n.json,package,css.lint.compatibleVendorPrefixes.desc,css.lint.compatibleVendorPrefixes.desc
vscode.css-language-features.i18n.json,package,css.lint.duplicateProperties.desc,css.lint.duplicateProperties.desc
vscode.css-language-features.i18n.json,package,css.lint.emptyRules.desc,css.lint.emptyRules.desc
vscode.css-language-features.i18n.json,package,css.lint.float.desc,css.lint.float.desc
vscode.css-language-features.i18n.json,package,css.lint.fontFaceProperties.desc,css.lint.fontFaceProperties.desc
vscode.css-language-features.i18n.json,package,css.lint.hexColorLength.desc,css.lint.hexColorLength.desc
vscode.css-language-features.i18n.json,package,css.lint.idSelector.desc,css.lint.idSelector.desc
vscode.css-language-features.i18n.json,package,css.lint.ieHack.desc,css.lint.ieHack.desc
vscode.css-language-features.i18n.json,package,css.lint.important.desc,css.lint.important.desc
vscode.css-language-features.i18n.json,package,css.lint.importStatement.desc,css.lint.importStatement.desc
vscode.css-language-features.i18n.json,package,css.lint.propertyIgnoredDueToDisplay.desc,css.lint.propertyIgnoredDueToDisplay.desc
vscode.css-language-features.i18n.json,package,css.lint.universalSelector.desc,css.lint.universalSelector.desc
vscode.css-language-features.i18n.json,package,css.lint.unknownAtRules.desc,css.lint.unknownAtRules.desc
vscode.css-language-features.i18n.json,package,css.lint.unknownProperties.desc,css.lint.unknownProperties.desc
vscode.css-language-features.i18n.json,package,css.lint.unknownVendorSpecificProperties.desc,css.lint.unknownVendorSpecificProperties.desc
vscode.css-language-features.i18n.json,package,css.lint.validProperties.desc,css.lint.validProperties.desc
vscode.css-language-features.i18n.json,package,css.lint.vendorPrefix.desc,css.lint.vendorPrefix.desc
vscode.css-language-features.i18n.json,package,css.lint.zeroUnits.desc,css.lint.zeroUnits.desc
vscode.css-language-features.i18n.json,package,css.title,css.title
vscode.css-language-features.i18n.json,package,css.trace.server.desc,css.trace.server.desc
