"﻿""file""",scope,key,value_zh
vscode.github-authentication.i18n.json,bundle,Apple,Quả táo
vscode.github-authentication.i18n.json,package,config.github-enterprise.title,config.github-enterprise.title
vscode.github-authentication.i18n.json,package,config.github-enterprise.uri.description,config.github-enterprise.uri.description
vscode.github-authentication.i18n.json,bundle,Continue to GitHub,Tiếp tục đến GitHub
vscode.github-authentication.i18n.json,bundle,Continue to GitHub to create a Personal Access Token (PAT),Tiếp tục GitHub để tạo mã thông báo truy cập cá nhân (PAT)
vscode.github-authentication.i18n.json,bundle,Copy & Continue to {0},Copy & Continue to {0}
vscode.github-authentication.i18n.json,package,description,Sự miêu tả
vscode.github-authentication.i18n.json,bundle,device code,Mã thiết bị
vscode.github-authentication.i18n.json,package,displayName,DisplayName
vscode.github-authentication.i18n.json,bundle,GitHub,Girub
vscode.github-authentication.i18n.json,bundle,GitHub Enterprise Server URI is not a valid URI: {0},GitHub Enterprise Server URI is not a valid URI: {0}
vscode.github-authentication.i18n.json,bundle,Google,Google
vscode.github-authentication.i18n.json,bundle,Having trouble logging in? Would you like to try a different way? ({0}),Having trouble logging in? Would you like to try a different way? ({0})
vscode.github-authentication.i18n.json,bundle,local server,Máy chủ cục bộ
vscode.github-authentication.i18n.json,bundle,No,KHÔNG
vscode.github-authentication.i18n.json,bundle,"Open [{0}]({0}) in a new tab and paste your one-time code: {1}/The [{0}]({0}) will be a url and the {1} will be a code, e.g. 123-456{Locked=""[{0}]({0})""}","Open [{0}]({0}) in a new tab and paste your one-time code: {1}/The [{0}]({0}) will be a url and the {1} will be a code, e.g. 123-456{Locked=""[{0}]({0})""}"
vscode.github-authentication.i18n.json,bundle,personal access token,Mã thông báo truy cập cá nhân
vscode.github-authentication.i18n.json,bundle,Sign in failed: {0},Sign in failed: {0}
vscode.github-authentication.i18n.json,bundle,Sign out failed: {0},Sign out failed: {0}
vscode.github-authentication.i18n.json,bundle,"Signing in to {0}.../The {0} will be a url, e.g. github.com","Signing in to {0}.../The {0} will be a url, e.g. github.com"
vscode.github-authentication.i18n.json,bundle,"To finish authenticating, navigate to GitHub and paste in the above one-time code.","Để hoàn thành việc xác thực, điều hướng đến GitHub và dán trong mã một lần trên."
vscode.github-authentication.i18n.json,bundle,"To finish authenticating, navigate to GitHub to create a PAT then paste the PAT into the input box.","Để hoàn thành việc xác thực, điều hướng đến GitHub để tạo PAT sau đó dán PAT vào hộp đầu vào."
vscode.github-authentication.i18n.json,bundle,url handler,Giao dịch URL
vscode.github-authentication.i18n.json,bundle,Yes,Đúng
vscode.github-authentication.i18n.json,bundle,You have not yet finished authorizing this extension to use GitHub. Would you like to try a different way? ({0}),You have not yet finished authorizing this extension to use GitHub. Would you like to try a different way? ({0})
vscode.github-authentication.i18n.json,bundle,"Your Code: {0}/The {0} will be a code, e.g. 123-456","Your Code: {0}/The {0} will be a code, e.g. 123-456"
