"﻿""file""",scope,key,value_zh
vscode.json-language-features.i18n.json,bundle,"{0} is a directory, not a file","{0} is a directory, not a file"
vscode.json-language-features.i18n.json,bundle,<empty>,<empty>
vscode.json-language-features.i18n.json,bundle,$ref '{0}' in '{1}' can not be resolved.,$ref '{0}' in '{1}' can not be resolved.
vscode.json-language-features.i18n.json,bundle,A default value. Used by suggestions.,Một giá trị mặc định. Được sử dụng bởi các đề xuất.
vscode.json-language-features.i18n.json,bundle,A descriptive title of the schema.,Một tiêu đề mô tả của lược đồ.
vscode.json-language-features.i18n.json,bundle,A long description of the schema. Used in hover menus and suggestions.,Một mô tả dài về lược đồ. Được sử dụng trong các menu di chuột và đề xuất.
vscode.json-language-features.i18n.json,bundle,"A map of property names to either an array of property names or a schema. An array of property names means the property named in the key depends on the properties in the array being present in the object in order to be valid. If the value is a schema, then the schema is only applied to the object if the property in the key exists on the object.","Bản đồ tên thuộc tính đến một mảng tên thuộc tính hoặc lược đồ. Một mảng tên thuộc tính có nghĩa là thuộc tính được đặt tên trong khóa phụ thuộc vào các thuộc tính trong mảng có trong đối tượng để có hiệu lực. Nếu giá trị là một lược đồ, thì lược đồ chỉ được áp dụng cho đối tượng nếu thuộc tính trong khóa tồn tại trên đối tượng."
vscode.json-language-features.i18n.json,bundle,A map of property names to schemas for each property.,Một bản đồ tên tài sản đến các lược đồ cho mỗi tài sản.
vscode.json-language-features.i18n.json,bundle,A map of regular expressions on property names to schemas for matching properties.,Bản đồ các biểu thức thường xuyên trên tên thuộc tính với các lược đồ cho các thuộc tính phù hợp.
vscode.json-language-features.i18n.json,bundle,A number that should cleanly divide the current value (i.e. have no remainder).,A number that should cleanly divide the current value (i.e. have no remainder).
vscode.json-language-features.i18n.json,bundle,A regular expression to match the string against. It is not implicitly anchored.,Một biểu thức chính quy để phù hợp với chuỗi với. Nó không được neo hoàn toàn.
vscode.json-language-features.i18n.json,bundle,A schema which must not match.,Một lược đồ không phải phù hợp.
vscode.json-language-features.i18n.json,bundle,A unique identifier for the schema.,Một định danh duy nhất cho lược đồ.
vscode.json-language-features.i18n.json,bundle,"An array instance is valid against ""contains"" if at least one of its elements is valid against the given schema.","Một thể hiện mảng có giá trị đối với ""chứa"" nếu ít nhất một trong các yếu tố của nó có giá trị đối với lược đồ đã cho."
vscode.json-language-features.i18n.json,bundle,"An array of schemas, all of which must match.","Một mảng các lược đồ, tất cả đều phải phù hợp."
vscode.json-language-features.i18n.json,bundle,"An array of schemas, exactly one of which must match.","Một mảng các lược đồ, chính xác là một trong số đó phải khớp."
vscode.json-language-features.i18n.json,bundle,"An array of schemas, where at least one must match.","Một mảng các lược đồ, trong đó ít nhất một người phải khớp."
vscode.json-language-features.i18n.json,bundle,An array of strings that lists the names of all properties required on this object.,Một mảng các chuỗi liệt kê tên của tất cả các thuộc tính cần thiết trên đối tượng này.
vscode.json-language-features.i18n.json,bundle,An instance validates successfully against this keyword if its value is equal to the value of the keyword.,Một thể hiện xác thực thành công so với từ khóa này nếu giá trị của nó bằng với giá trị của từ khóa.
vscode.json-language-features.i18n.json,bundle,Array does not contain required item.,Mảng không chứa mục yêu cầu.
vscode.json-language-features.i18n.json,bundle,Array has duplicate items.,Array có các mục trùng lặp.
vscode.json-language-features.i18n.json,bundle,Array has too few items that match the contains contraint. Expected {0} or more.,Array has too few items that match the contains contraint. Expected {0} or more.
vscode.json-language-features.i18n.json,bundle,Array has too few items. Expected {0} or more.,Array has too few items. Expected {0} or more.
vscode.json-language-features.i18n.json,bundle,Array has too many items according to schema. Expected {0} or fewer.,Array has too many items according to schema. Expected {0} or fewer.
vscode.json-language-features.i18n.json,bundle,Array has too many items that match the contains contraint. Expected {0} or less.,Array has too many items that match the contains contraint. Expected {0} or less.
vscode.json-language-features.i18n.json,bundle,Array has too many items. Expected {0} or fewer.,Array has too many items. Expected {0} or fewer.
vscode.json-language-features.i18n.json,bundle,Colon expected,Đại tá mong đợi
vscode.json-language-features.i18n.json,bundle,Comments are not permitted in JSON.,Nhận xét không được phép trong JSON.
vscode.json-language-features.i18n.json,bundle,Comments from schema authors to readers or maintainers of the schema.,Nhận xét từ các tác giả lược đồ đến độc giả hoặc người duy trì lược đồ.
vscode.json-language-features.i18n.json,bundle,Configure,Cấu hình
vscode.json-language-features.i18n.json,bundle,Configured by extension: {0},Configured by extension: {0}
vscode.json-language-features.i18n.json,bundle,Configured in user settings,Được định cấu hình trong cài đặt người dùng
vscode.json-language-features.i18n.json,bundle,Configured in workspace settings,Được định cấu hình trong Cài đặt không gian làm việc
vscode.json-language-features.i18n.json,bundle,Default value,Giá trị mặc định
vscode.json-language-features.i18n.json,bundle,Describes the content encoding of a string property.,Mô tả mã hóa nội dung của thuộc tính chuỗi.
vscode.json-language-features.i18n.json,bundle,"Describes the format expected for the value. By default, not used for validation","Mô tả định dạng dự kiến cho giá trị. Theo mặc định, không được sử dụng để xác nhận"
vscode.json-language-features.i18n.json,bundle,Describes the media type of a string property.,Mô tả loại phương tiện của một thuộc tính chuỗi.
vscode.json-language-features.i18n.json,package,description,Sự miêu tả
vscode.json-language-features.i18n.json,package,displayName,DisplayName
vscode.json-language-features.i18n.json,bundle,Downloading schemas is disabled through setting '{0}',Downloading schemas is disabled through setting '{0}'
vscode.json-language-features.i18n.json,bundle,Downloading schemas is disabled. Click to configure.,Tải xuống các lược đồ bị vô hiệu hóa. Bấm để cấu hình.
vscode.json-language-features.i18n.json,bundle,Draft-03 schemas are not supported.,DRAFT-03 lược đồ không được hỗ trợ.
vscode.json-language-features.i18n.json,bundle,Duplicate anchor declaration: '{0}',Duplicate anchor declaration: '{0}'
vscode.json-language-features.i18n.json,bundle,Duplicate object key,Khóa đối tượng trùng lặp
vscode.json-language-features.i18n.json,bundle,"Either a schema or a boolean. If a schema, used to validate all properties not matched by 'properties', 'propertyNames', or 'patternProperties'. If false, any properties not defined by the adajacent keywords will cause this schema to fail.","Hoặc là một lược đồ hoặc một boolean. Nếu một lược đồ, được sử dụng để xác nhận tất cả các thuộc tính không được khớp bởi 'thuộc tính', 'propertyNames' hoặc 'mapsitProperIES'. Nếu sai, bất kỳ thuộc tính nào không được xác định bởi các từ khóa Adajacent sẽ khiến lược đồ này bị lỗi."
vscode.json-language-features.i18n.json,bundle,"Either a string of one of the basic schema types (number, integer, null, array, object, boolean, string) or an array of strings specifying a subset of those types.","Hoặc là một chuỗi của một trong các loại lược đồ cơ bản (số, số nguyên, null, mảng, đối tượng, boolean, chuỗi) hoặc một mảng các chuỗi chỉ định một tập hợp con của các loại đó."
vscode.json-language-features.i18n.json,bundle,End of file expected.,Kết thúc tập tin dự kiến.
vscode.json-language-features.i18n.json,bundle,"Expected a JSON object, array or literal.","Mong đợi một đối tượng JSON, mảng hoặc nghĩa đen."
vscode.json-language-features.i18n.json,bundle,Expected comma,Dấu phẩy dự kiến
vscode.json-language-features.i18n.json,bundle,Expected comma or closing brace,Dấu phẩy dự kiến hoặc nẹp đóng cửa
vscode.json-language-features.i18n.json,bundle,Expected comma or closing bracket,Dấu phẩy hoặc khung kết thúc dự kiến
vscode.json-language-features.i18n.json,bundle,"Failed to sort the JSONC document, please consider opening an issue.","Không thể sắp xếp tài liệu JSONC, vui lòng xem xét việc mở một vấn đề."
vscode.json-language-features.i18n.json,bundle,"For arrays, only when items is set as an array. If items are a schema, this schema validates items after the ones specified by the items schema. If false, additional items will cause validation to fail.","Đối với các mảng, chỉ khi các mục được đặt thành một mảng. Nếu các mục là một lược đồ, lược đồ này sẽ xác nhận các mục sau các mục được chỉ định bởi lược đồ các mục. Nếu sai, các mục bổ sung sẽ khiến xác nhận không thành công."
vscode.json-language-features.i18n.json,bundle,"For arrays. Can either be a schema to validate every element against or an array of schemas to validate each item against in order (the first schema will validate the first element, the second schema will validate the second element, and so on.","Cho mảng. Có thể là một lược đồ để xác nhận mọi yếu tố chống lại hoặc một mảng các lược đồ để xác nhận từng mục theo thứ tự (lược đồ thứ nhất sẽ xác thực phần tử thứ nhất, lược đồ thứ hai sẽ xác nhận phần tử thứ hai, v.v."
vscode.json-language-features.i18n.json,bundle,If all of the items in the array must be unique. Defaults to false.,Nếu tất cả các mục trong mảng phải là duy nhất. Mặc định là sai.
vscode.json-language-features.i18n.json,bundle,"If the instance is an object, this keyword validates if every property name in the instance validates against the provided schema.","Nếu cá thể là một đối tượng, từ khóa này sẽ xác thực nếu mọi tên thuộc tính trong trường hợp xác nhận theo lược đồ được cung cấp."
vscode.json-language-features.i18n.json,bundle,"Incorrect type. Expected ""{0}"".","Incorrect type. Expected ""{0}""."
vscode.json-language-features.i18n.json,bundle,Incorrect type. Expected one of {0}.,Incorrect type. Expected one of {0}.
vscode.json-language-features.i18n.json,bundle,Indicates that the value of the instance is managed exclusively by the owning authority.,Chỉ ra rằng giá trị của trường hợp được quản lý độc quyền bởi cơ quan sở hữu.
vscode.json-language-features.i18n.json,bundle,Invalid characters in string. Control characters must be escaped.,Ký tự không hợp lệ trong chuỗi. Các ký tự điều khiển phải được thoát ra.
vscode.json-language-features.i18n.json,bundle,"Invalid color format. Use #RGB, #RGBA, #RRGGBB or #RRGGBBAA.","Định dạng màu không hợp lệ. Sử dụng #RGB, #RGBA, #RRGGBB hoặc #RRGGBBAA."
vscode.json-language-features.i18n.json,bundle,Invalid escape character in string.,Ký tự thoát không hợp lệ trong chuỗi.
vscode.json-language-features.i18n.json,bundle,Invalid number format.,Định dạng số không hợp lệ.
vscode.json-language-features.i18n.json,bundle,Invalid unicode sequence in string.,Trình tự Unicode không hợp lệ trong chuỗi.
