"﻿""file""",scope,key,value_zh
vscode.git.i18n.json,bundle,"

Are you sure you want to discard ALL changes in {0} files?","

Are you sure you want to discard ALL changes in {0} files?"
vscode.git.i18n.json,bundle,"

Are you sure you want to discard changes in '{0}'?","

Are you sure you want to discard changes in '{0}'?"
vscode.git.i18n.json,bundle,"""{0}"" has fingerprint ""{1}""","""{0}"" has fingerprint ""{1}"""
vscode.git.i18n.json,bundle,[main] Log level: {0},[main] Log level: {0}
vscode.git.i18n.json,bundle,"[main] Skipped found git in: ""{0}""","[main] Skipped found git in: ""{0}"""
vscode.git.i18n.json,bundle,"[main] Using git ""{0}"" from ""{1}""","[main] Using git ""{0}"" from ""{1}"""
vscode.git.i18n.json,bundle,"[main] Validating found git in: ""{0}""","[main] Validating found git in: ""{0}"""
vscode.git.i18n.json,bundle,{0} ({1}),{0} ({1})
vscode.git.i18n.json,bundle,{0} ({1}) ↔ {0} ({2}),{0} ({1}) ↔ {0} ({2})
vscode.git.i18n.json,bundle,{0} (Deleted),{0} (Deleted)
vscode.git.i18n.json,bundle,{0} (Index),{0} (Index)
vscode.git.i18n.json,bundle,{0} (Intent to add),{0} (Intent to add)
vscode.git.i18n.json,bundle,{0} (Ours),{0} (Ours)
vscode.git.i18n.json,bundle,{0} (Theirs),{0} (Theirs)
vscode.git.i18n.json,bundle,{0} (Type changed),{0} (Type changed)
vscode.git.i18n.json,bundle,{0} (Untracked),{0} (Untracked)
vscode.git.i18n.json,bundle,{0} (Working Tree),{0} (Working Tree)
vscode.git.i18n.json,bundle,{0} ↔ {1},{0} ↔ {1}
vscode.git.i18n.json,bundle,{0} characters over {1} in current line,{0} characters over {1} in current line
vscode.git.i18n.json,bundle,{0} Checkout detached...,{0} Checkout detached...
vscode.git.i18n.json,bundle,{0} Commit,{0} Commit
vscode.git.i18n.json,bundle,{0} Commit (Amend),{0} Commit (Amend)
vscode.git.i18n.json,bundle,{0} Commit & Push,{0} Commit & Push
vscode.git.i18n.json,bundle,{0} Commit & Sync,{0} Commit & Sync
vscode.git.i18n.json,bundle,{0} Continue,{0} Continue
vscode.git.i18n.json,bundle,{0} Create new branch from...,{0} Create new branch from...
vscode.git.i18n.json,bundle,{0} Create new branch...,{0} Create new branch...
vscode.git.i18n.json,bundle,{0} day,{0} day
vscode.git.i18n.json,bundle,{0} day ago,{0} day ago
vscode.git.i18n.json,bundle,{0} days,{0} days
vscode.git.i18n.json,bundle,{0} days ago,{0} days ago
vscode.git.i18n.json,bundle,{0} deletion{1},{0} deletion{1}
vscode.git.i18n.json,bundle,{0} deletions{1},{0} deletions{1}
vscode.git.i18n.json,bundle,{0} Fetch all remotes,{0} Fetch all remotes
vscode.git.i18n.json,bundle,{0} file changed,{0} file changed
vscode.git.i18n.json,bundle,{0} files changed,{0} files changed
vscode.git.i18n.json,bundle,{0} hour,{0} hour
vscode.git.i18n.json,bundle,{0} hour ago,{0} hour ago
vscode.git.i18n.json,bundle,{0} hours,{0} hours
vscode.git.i18n.json,bundle,{0} hours ago,{0} hours ago
vscode.git.i18n.json,bundle,{0} hr,{0} hr
vscode.git.i18n.json,bundle,{0} hr ago,{0} hr ago
vscode.git.i18n.json,bundle,{0} hrs,{0} hrs
vscode.git.i18n.json,bundle,{0} hrs ago,{0} hrs ago
vscode.git.i18n.json,bundle,{0} insertion{1},{0} insertion{1}
vscode.git.i18n.json,bundle,{0} insertions{1},{0} insertions{1}
vscode.git.i18n.json,bundle,{0} min,{0} min
vscode.git.i18n.json,bundle,{0} min ago,{0} min ago
vscode.git.i18n.json,bundle,{0} mins,{0} mins
vscode.git.i18n.json,bundle,{0} mins ago,{0} mins ago
vscode.git.i18n.json,bundle,{0} minute,{0} minute
vscode.git.i18n.json,bundle,{0} minute ago,{0} minute ago
vscode.git.i18n.json,bundle,{0} minutes,{0} minutes
vscode.git.i18n.json,bundle,{0} minutes ago,{0} minutes ago
vscode.git.i18n.json,bundle,{0} mo,{0} mo
vscode.git.i18n.json,bundle,{0} mo ago,{0} mo ago
vscode.git.i18n.json,bundle,{0} month,{0} month
vscode.git.i18n.json,bundle,{0} month ago,{0} month ago
vscode.git.i18n.json,bundle,{0} months,{0} months
vscode.git.i18n.json,bundle,{0} months ago,{0} months ago
vscode.git.i18n.json,bundle,{0} mos,{0} mos
vscode.git.i18n.json,bundle,{0} mos ago,{0} mos ago
