"file","row_index","key"
"all-translations.csv","1","button dropdown more actions"
"all-translations.csv","7","ok"
"all-translations.csv","35","not found"
"all-translations.csv","37","type to filter"
"all-translations.csv","38","type to search"
"all-translations.csv","39","type to filter"
"all-translations.csv","40","type to search"
"all-translations.csv","41","collapse all"
"all-translations.csv","134","invalid file"
"all-translations.csv","213","Open Accessible Diff Viewer"
"all-translations.csv","561","on"
"all-translations.csv","938","copy as"
"all-translations.csv","1147","marker aria"
"all-translations.csv","1248","stopped rendering"
"all-translations.csv","1249","too many characters"
"all-translations.csv","1252","quick fixes"
"all-translations.csv","1253","view problem"
"all-translations.csv","1489","no result"
"all-translations.csv","1755","configure keybinding"
"all-translations.csv","1835","install prerelease"
"all-translations.csv","1861","turn sync"
"all-translations.csv","1877","incompatible platform"
"all-translations.csv","1879","learn why"
"all-translations.csv","1880","malicious extension"
"all-translations.csv","1884","not allowed to install"
"all-translations.csv","1892","extension prerelease not allowed"
"all-translations.csv","1893","prerelease versions from this publisher not allowed"
"all-translations.csv","1894","publisher not allowed"
"all-translations.csv","1895","specific extension not allowed"
"all-translations.csv","1896","specific version of extension not allowed"
"all-translations.csv","1920","error while installing extensions"
"all-translations.csv","1925","installation failed"
"all-translations.csv","1927","installing builtin "
"all-translations.csv","1928","installing builtin with version"
"all-translations.csv","1929","installing with version"
"all-translations.csv","1953","cannot read"
"all-translations.csv","1959","signature verification failed"
"all-translations.csv","1960","signature verification not executed"
"all-translations.csv","2055","expand mode"
"all-translations.csv","2056","Fast Scroll Sensitivity"
"all-translations.csv","2057","horizontalScrolling setting"
"all-translations.csv","2063","list smoothScrolling setting"
"all-translations.csv","2065","Mouse Wheel Scroll Sensitivity"
"all-translations.csv","2070","render tree indent guides"
"all-translations.csv","2071","sticky scroll"
"all-translations.csv","2072","sticky scroll maximum items"
"all-translations.csv","2073","tree indent setting"
"all-translations.csv","2090","mcp servers are not allowed"
"all-translations.csv","2093","not allowed to install"
"all-translations.csv","2136","ok"
"all-translations.csv","2160","ok"
"all-translations.csv","2170","ok"
"all-translations.csv","2579","ok"
"all-translations.csv","2592","incompatible sync data"
"all-translations.csv","2595","default service changed"
"all-translations.csv","2596","service changed"
"all-translations.csv","2597","session expired"
"all-translations.csv","2598","turned off"
"all-translations.csv","2599","turned off machine"
"all-translations.csv","2601","settings sync"
"all-translations.csv","2606","error incompatible"
"all-translations.csv","2607","incompatible sync data"
"all-translations.csv","2626","ok"
"all-translations.csv","2642","ok"
"all-translations.csv","2681","no"
"all-translations.csv","2684","cannot be installed"
"all-translations.csv","2691","enable dep"
"all-translations.csv","2692","install missing dep"
"all-translations.csv","2696","reload window"
"all-translations.csv","2716","ok"
"all-translations.csv","2730","ok"
"all-translations.csv","2753","id"
"all-translations.csv","2769","view container id"
"all-translations.csv","2770","view container location"
"all-translations.csv","2771","view container title"
"all-translations.csv","2772","view id"
"all-translations.csv","2773","view name title"
"all-translations.csv","2774","viewcontainer requirearray"
"all-translations.csv","2836","setting name"
"all-translations.csv","2859","url handler"
"all-translations.csv","2893","device code"
"all-translations.csv","2898","Test View 1"
"all-translations.csv","2900","inspect context keys"
"all-translations.csv","2930","toggle screencast mode"
"all-translations.csv","3000","move second sidebar left"
"all-translations.csv","3001","move second sidebar right"
"all-translations.csv","3002","move side bar right"
"all-translations.csv","3003","move sidebar left"
"all-translations.csv","3033","primary sidebar"
"all-translations.csv","3034","primary sidebar mnemonic"
"all-translations.csv","3041","restore defaults"
"all-translations.csv","3157","activity bar position"
"all-translations.csv","3196","activity bar position"
"all-translations.csv","3197","hide second side bar"
"all-translations.csv","3198","move second side bar left"
"all-translations.csv","3199","move second side bar right"
"all-translations.csv","3219","ok"
"all-translations.csv","3592","ok"
"all-translations.csv","3680","manage profile"
"all-translations.csv","3792","align panel"
"all-translations.csv","3794","panel position"
"all-translations.csv","3812","download now"
"all-translations.csv","3817","installUpdate..."
"all-translations.csv","3857","more filters"
"all-translations.csv","3870","reset user data message"
"all-translations.csv","4119","active window"
"all-translations.csv","4372","views log"
"all-translations.csv","4632","placeholder v2"
"all-translations.csv","4635","use new account"
"all-translations.csv","4642","placeholder v2"
"all-translations.csv","4645","use new account"
"all-translations.csv","4717","ok"
"all-translations.csv","4753","to"
"all-translations.csv","4802","ai actions"
"all-translations.csv","5655","ok"
"all-translations.csv","5685","Language Models"
"all-translations.csv","5870","1.problem"
"all-translations.csv","6074","showing filtered results"
"all-translations.csv","6075","comment sorts"
"all-translations.csv","6081","sorting by position in file"
"all-translations.csv","6082","sorting by updated at"
"all-translations.csv","6083","toggle resolved"
"all-translations.csv","6084","toggle sorting by resource"
"all-translations.csv","6085","toggle sorting by updated at"
"all-translations.csv","6086","toggle unresolved"
"all-translations.csv","6133","customEditors filenamePattern"
"all-translations.csv","6134","customEditors priority"
"all-translations.csv","6135","customEditors view type"
"all-translations.csv","6247","ok"
"all-translations.csv","6339","miRestart Debugging"
"all-translations.csv","6358","run and debug"
"all-translations.csv","6447","user settings"
"all-translations.csv","6546","active debug session"
"all-translations.csv","6648","showing filtered repl lines"
"all-translations.csv","6807","debugger name"
"all-translations.csv","6808","debugger type"
"all-translations.csv","6867","check for pending cloud changes"
"all-translations.csv","6869","client too old"
"all-translations.csv","6871","continue edit session in local folder"
"all-translations.csv","6872","continue with cloud changes"
"all-translations.csv","6873","continue working on"
"all-translations.csv","6892","no cloud changes"
"all-translations.csv","6893","no cloud changes for ref"
"all-translations.csv","6894","no working changes to store"
"all-translations.csv","6895","payload failed"
"all-translations.csv","6896","payload too large"
"all-translations.csv","6898","resume cloud changes"
"all-translations.csv","6899","resume edit session warning 1"
"all-translations.csv","6900","resume edit session warning many"
"all-translations.csv","6901","resume failed"
"all-translations.csv","6902","resume latest cloud changes"
"all-translations.csv","6903","resuming working changes window"
"all-translations.csv","6904","show cloud changes"
"all-translations.csv","6905","show log"
"all-translations.csv","6906","store working changes"
"all-translations.csv","6907","store working changes in cloud"
"all-translations.csv","6908","store your working changes"
"all-translations.csv","6909","storing working changes"
"all-translations.csv","6910","with cloud changes"
"all-translations.csv","6911","without cloud changes"
"all-translations.csv","6912","choose account placeholder"
"all-translations.csv","6913","choose account read placeholder"
"all-translations.csv","6914","delete all cloud changes"
"all-translations.csv","6917","sign in"
"all-translations.csv","6918","sign in badge"
"all-translations.csv","6919","sign in using account"
