"﻿""file""",scope,key,value_zh
vscode.html-language-features.i18n.json,bundle,'{0}','{0}'
vscode.html-language-features.i18n.json,bundle,'from' expected,'từ' mong đợi
vscode.html-language-features.i18n.json,bundle,'in' expected,'trong' mong đợi
vscode.html-language-features.i18n.json,bundle,'through' or 'to' expected,'thông qua' hoặc 'đến' được mong đợi
vscode.html-language-features.i18n.json,bundle,"""store"" a boolean test for later evaluation in a guard or if().","""Lưu trữ"" một bài kiểm tra Boolean để đánh giá sau trong một người bảo vệ hoặc nếu ()."
vscode.html-language-features.i18n.json,bundle,( expected,( hy vọng
vscode.html-language-features.i18n.json,bundle,) expected,) hy vọng
vscode.html-language-features.i18n.json,bundle,[ expected,[ hy vọng
vscode.html-language-features.i18n.json,bundle,] expected,] hy vọng
vscode.html-language-features.i18n.json,bundle,{ expected,{ hy vọng
vscode.html-language-features.i18n.json,bundle,"{0}, '{1}'","{0}, '{1}'"
vscode.html-language-features.i18n.json,bundle,} expected,} hy vọng
vscode.html-language-features.i18n.json,bundle,@font-face,@Font-mặt
vscode.html-language-features.i18n.json,bundle,@font-face rule must define 'src' and 'font-family' properties,@Quy tắc Font-Face phải xác định các thuộc tính 'src' và 'font-family'
vscode.html-language-features.i18n.json,bundle,@keyframes {0},@keyframes {0}
vscode.html-language-features.i18n.json,bundle,<undefined>,<undefined>
vscode.html-language-features.i18n.json,bundle,A list of properties that are not validated against the `unknownProperties` rule.,Một danh sách các thuộc tính không được xác nhận theo quy tắc 'không biết `.
vscode.html-language-features.i18n.json,bundle,absolute value of a number,Giá trị tuyệt đối của một số
vscode.html-language-features.i18n.json,bundle,Adds quotes to a string.,Thêm dấu ngoặc kép vào một chuỗi.
vscode.html-language-features.i18n.json,bundle,Also define the standard property '{0}' for compatibility,Also define the standard property '{0}' for compatibility
vscode.html-language-features.i18n.json,bundle,Always define standard rule '@keyframes' when defining keyframes.,Luôn xác định quy tắc tiêu chuẩn '@KeyFrames' khi xác định các khung chính.
vscode.html-language-features.i18n.json,bundle,Always include all vendor specific properties: Missing: {0},Always include all vendor specific properties: Missing: {0}
vscode.html-language-features.i18n.json,bundle,Always include all vendor specific rules: Missing: {0},Always include all vendor specific rules: Missing: {0}
vscode.html-language-features.i18n.json,bundle,Appends a single value onto the end of a list.,Lối nối một giá trị duy nhất vào cuối danh sách.
vscode.html-language-features.i18n.json,bundle,Appends selectors to one another without spaces in between.,Đưa bộ chọn cho nhau mà không có khoảng trống ở giữa.
